episode,frameNumber,centerImage,LeftImage,rightImage,steer,throttle,forwardSpeed
00000,34,CameraRGB__00000,LeftRGB__00000,RightRGB__00000,0.010932628065347672,0.75,3.300132675576606e-06
00000,36,CameraRGB__00002,LeftRGB__00002,RightRGB__00002,0.01045581977814436,0.75,2.090787649154663
00000,38,CameraRGB__00004,LeftRGB__00004,RightRGB__00004,0.00991133600473404,0.75,4.085226535797119
00000,40,CameraRGB__00006,LeftRGB__00006,RightRGB__00006,0.008429388515651226,0.16125352680683136,5.439240455627441
00000,42,CameraRGB__00008,LeftRGB__00008,RightRGB__00008,0.00667457515373826,0.0,5.882499694824219
00000,44,CameraRGB__00010,LeftRGB__00010,RightRGB__00010,0.005118576809763908,0.019339144229888916,5.541831016540527
00000,46,CameraRGB__00012,LeftRGB__00012,RightRGB__00012,0.004061268176883459,0.620516300201416,5.108558177947998
00000,48,CameraRGB__00014,LeftRGB__00014,RightRGB__00014,0.0033731006551533937,0.6040259599685669,5.121006488800049
00000,50,CameraRGB__00016,LeftRGB__00016,RightRGB__00016,0.0030001753475517035,0.30448129773139954,5.336816787719727
00000,52,CameraRGB__00018,LeftRGB__00018,RightRGB__00018,0.002742284443229437,0.33019524812698364,5.317859172821045
00000,54,CameraRGB__00020,LeftRGB__00020,RightRGB__00020,0.0028520445339381695,0.0,5.239532947540283
00000,56,CameraRGB__00022,LeftRGB__00022,RightRGB__00022,0.0022177586797624826,0.0,4.630729675292969
00000,58,CameraRGB__00024,LeftRGB__00024,RightRGB__00024,0.003268191358074546,0.036374323070049286,4.140824317932129
00000,60,CameraRGB__00026,LeftRGB__00026,RightRGB__00026,0.004919111728668213,0.5077141523361206,3.799668073654175
00000,62,CameraRGB__00028,LeftRGB__00028,RightRGB__00028,0.005732422694563866,0.42354825139045715,3.861194372177124
00000,64,CameraRGB__00030,LeftRGB__00030,RightRGB__00030,0.008580351248383522,0.22333022952079773,4.007086753845215
00000,66,CameraRGB__00032,LeftRGB__00032,RightRGB__00032,0.012251698412001133,0.2888089120388031,3.965088367462158
00000,68,CameraRGB__00034,LeftRGB__00034,RightRGB__00034,0.010716691613197327,0.3599007725715637,3.91493821144104
00000,70,CameraRGB__00036,LeftRGB__00036,RightRGB__00036,0.016495827585458755,0.3189939558506012,3.939049005508423
00000,72,CameraRGB__00038,LeftRGB__00038,RightRGB__00038,0.023738674819469452,0.30701860785484314,3.955620527267456
00000,74,CameraRGB__00040,LeftRGB__00040,RightRGB__00040,0.032781392335891724,0.3066585063934326,3.948732852935791
00000,76,CameraRGB__00042,LeftRGB__00042,RightRGB__00042,0.05147791653871536,0.31699877977371216,3.9396793842315674
00000,78,CameraRGB__00044,LeftRGB__00044,RightRGB__00044,0.05667025223374367,0.3131360709667206,3.940612316131592
00000,80,CameraRGB__00046,LeftRGB__00046,RightRGB__00046,0.1000613197684288,0.3190947473049164,3.9375133514404297
00000,82,CameraRGB__00048,LeftRGB__00048,RightRGB__00048,0.14029301702976227,0.32365912199020386,3.9344682693481445
00000,84,CameraRGB__00050,LeftRGB__00050,RightRGB__00050,0.19080516695976257,0.3263455629348755,3.933443784713745
00000,86,CameraRGB__00052,LeftRGB__00052,RightRGB__00052,0.272666335105896,0.344743937253952,3.9227943420410156
00000,88,CameraRGB__00054,LeftRGB__00054,RightRGB__00054,0.3336658179759979,0.35871684551239014,3.9171950817108154
00000,90,CameraRGB__00056,LeftRGB__00056,RightRGB__00056,0.41180697083473206,0.3430619537830353,3.927638053894043
00000,92,CameraRGB__00058,LeftRGB__00058,RightRGB__00058,0.4604746699333191,0.3677687346935272,3.911904811859131
00000,94,CameraRGB__00060,LeftRGB__00060,RightRGB__00060,0.4553174078464508,0.33442503213882446,3.937138080596924
00000,96,CameraRGB__00062,LeftRGB__00062,RightRGB__00062,0.44512638449668884,0.3006538152694702,3.9618489742279053
00000,98,CameraRGB__00064,LeftRGB__00064,RightRGB__00064,0.41617724299430847,0.2508080303668976,3.9482686519622803
00000,100,CameraRGB__00066,LeftRGB__00066,RightRGB__00066,0.3807945251464844,0.21911749243736267,3.893860340118408
00000,102,CameraRGB__00068,LeftRGB__00068,RightRGB__00068,0.3486512303352356,0.75,3.850922107696533
00000,104,CameraRGB__00070,LeftRGB__00070,RightRGB__00070,0.30497273802757263,0.75,4.238006591796875
00000,106,CameraRGB__00072,LeftRGB__00072,RightRGB__00072,0.2566421926021576,0.75,4.7889084815979
00000,108,CameraRGB__00074,LeftRGB__00074,RightRGB__00074,0.19315259158611298,0.2730507254600525,5.364083766937256
00000,110,CameraRGB__00076,LeftRGB__00076,RightRGB__00076,0.14592723548412323,0.75,5.551379203796387
00000,112,CameraRGB__00078,LeftRGB__00078,RightRGB__00078,0.10176612436771393,0.75,5.446846008300781
00000,114,CameraRGB__00080,LeftRGB__00080,RightRGB__00080,0.04844290390610695,0.75,5.7938666343688965
00000,116,CameraRGB__00082,LeftRGB__00082,RightRGB__00082,0.018596144393086433,0.75,6.36101770401001
00000,118,CameraRGB__00084,LeftRGB__00084,RightRGB__00084,-0.0040822415612638,0.6489730477333069,6.921439170837402
00000,120,CameraRGB__00086,LeftRGB__00086,RightRGB__00086,-0.027442332357168198,0.0,7.299269199371338
00000,122,CameraRGB__00088,LeftRGB__00088,RightRGB__00088,-0.03710271418094635,0.0,6.965021133422852
00000,124,CameraRGB__00090,LeftRGB__00090,RightRGB__00090,-0.02263062261044979,0.0,6.386536598205566
00000,126,CameraRGB__00092,LeftRGB__00092,RightRGB__00092,-0.01641007699072361,0.0,5.05096960067749
00000,128,CameraRGB__00094,LeftRGB__00094,RightRGB__00094,-0.01305693481117487,0.0,3.56169056892395
00000,130,CameraRGB__00096,LeftRGB__00096,RightRGB__00096,-0.01046757586300373,0.11860896646976471,3.0713582038879395
00000,132,CameraRGB__00098,LeftRGB__00098,RightRGB__00098,-0.00870090164244175,0.3230248987674713,2.8436150550842285
00000,134,CameraRGB__00100,LeftRGB__00100,RightRGB__00100,-0.006720229517668486,0.20334599912166595,2.850614309310913
00000,136,CameraRGB__00102,LeftRGB__00102,RightRGB__00102,-0.005421001464128494,0.13767412304878235,2.818746566772461
00000,138,CameraRGB__00104,LeftRGB__00104,RightRGB__00104,-0.004779272247105837,0.17676906287670135,2.7134807109832764
00000,140,CameraRGB__00106,LeftRGB__00106,RightRGB__00106,-0.0037764229346066713,0.19213607907295227,2.629225969314575
00000,142,CameraRGB__00108,LeftRGB__00108,RightRGB__00108,-0.002868914045393467,0.17436744272708893,2.570157051086426
00000,144,CameraRGB__00110,LeftRGB__00110,RightRGB__00110,-0.0020822458900511265,0.16711737215518951,2.5059432983398438
00000,146,CameraRGB__00112,LeftRGB__00112,RightRGB__00112,-0.0014022081159055233,0.16803038120269775,2.437513589859009
00000,148,CameraRGB__00114,LeftRGB__00114,RightRGB__00114,-0.0008262741030193865,0.16795676946640015,2.3712821006774902
00000,150,CameraRGB__00116,LeftRGB__00116,RightRGB__00116,-0.0003610325511544943,0.16428916156291962,2.3094449043273926
00000,152,CameraRGB__00118,LeftRGB__00118,RightRGB__00118,0.008495848625898361,0.1614307314157486,2.2491650581359863
00000,154,CameraRGB__00120,LeftRGB__00120,RightRGB__00120,0.007677632384002209,0.15747405588626862,2.189873695373535
00000,156,CameraRGB__00122,LeftRGB__00122,RightRGB__00122,0.006779445335268974,0.15585555136203766,2.131502389907837
00000,158,CameraRGB__00124,LeftRGB__00124,RightRGB__00124,0.005993231665343046,0.15422095358371735,2.0747625827789307
00000,160,CameraRGB__00126,LeftRGB__00126,RightRGB__00126,0.005226974841207266,0.151941180229187,2.0198748111724854
00000,162,CameraRGB__00128,LeftRGB__00128,RightRGB__00128,0.004768160171806812,0.14916479587554932,1.9663399457931519
00000,164,CameraRGB__00130,LeftRGB__00130,RightRGB__00130,0.0036436403170228004,0.14887726306915283,1.9137978553771973
00000,166,CameraRGB__00132,LeftRGB__00132,RightRGB__00132,0.0033378375228494406,0.1475839763879776,1.863037347793579
00000,168,CameraRGB__00134,LeftRGB__00134,RightRGB__00134,0.002551303943619132,0.14555947482585907,1.8138842582702637
00000,170,CameraRGB__00136,LeftRGB__00136,RightRGB__00136,0.002346739172935486,0.14500592648983002,1.7657514810562134
00000,172,CameraRGB__00138,LeftRGB__00138,RightRGB__00138,0.0015240686479955912,0.14251862466335297,1.7192202806472778
00000,174,CameraRGB__00140,LeftRGB__00140,RightRGB__00140,0.0014080274850130081,0.1409190446138382,1.6736226081848145
00000,176,CameraRGB__00142,LeftRGB__00142,RightRGB__00142,0.001307064201682806,0.1398099809885025,1.6291098594665527
00000,178,CameraRGB__00144,LeftRGB__00144,RightRGB__00144,0.00044995301868766546,0.13882935047149658,1.5857845544815063
00000,180,CameraRGB__00146,LeftRGB__00146,RightRGB__00146,0.0004206995072308928,0.1387946605682373,1.543621301651001
00000,182,CameraRGB__00148,LeftRGB__00148,RightRGB__00148,-0.0005588176427409053,0.13725708425045013,1.5028129816055298
00000,184,CameraRGB__00150,LeftRGB__00150,RightRGB__00150,-0.001600257703103125,0.13625672459602356,1.46304190158844
00000,186,CameraRGB__00152,LeftRGB__00152,RightRGB__00152,-0.001500776270404458,0.13546356558799744,1.424222707748413
00000,188,CameraRGB__00154,LeftRGB__00154,RightRGB__00154,-0.0026439661160111427,0.13494959473609924,1.3864550590515137
00000,190,CameraRGB__00156,LeftRGB__00156,RightRGB__00156,-0.0024868384934961796,0.1342039555311203,1.349818229675293
00000,192,CameraRGB__00158,LeftRGB__00158,RightRGB__00158,-0.0023370760027319193,0.0,1.3144947290420532
00000,194,CameraRGB__00160,LeftRGB__00160,RightRGB__00160,-0.003606995567679405,0.0,1.2951313257217407
00000,196,CameraRGB__00162,LeftRGB__00162,RightRGB__00162,-0.0035365887451916933,0.0,0.13318279385566711
00000,198,CameraRGB__00164,LeftRGB__00164,RightRGB__00164,-0.003497278317809105,0.0,0.24574874341487885
